Total steps: 939 	 Episode: 0/939 	 Total reward: -21.0
Total steps: 20189 	 Episode: 20/1256 	 Total reward: -19.0
Total steps: 39921 	 Episode: 40/1188 	 Total reward: -20.0
Total steps: 58272 	 Episode: 60/818 	 Total reward: -21.0
Total steps: 76733 	 Episode: 80/872 	 Total reward: -21.0
Total steps: 97220 	 Episode: 100/1594 	 Total reward: -17.0
Total steps: 117817 	 Episode: 120/822 	 Total reward: -21.0
Total steps: 139458 	 Episode: 140/1023 	 Total reward: -21.0
Total steps: 161090 	 Episode: 160/1031 	 Total reward: -20.0
Total steps: 184787 	 Episode: 180/1062 	 Total reward: -21.0
Total steps: 208890 	 Episode: 200/1403 	 Total reward: -19.0
Total steps: 232986 	 Episode: 220/927 	 Total reward: -21.0
Total steps: 256047 	 Episode: 240/1126 	 Total reward: -20.0
Total steps: 279273 	 Episode: 260/1300 	 Total reward: -19.0
Total steps: 303574 	 Episode: 280/1409 	 Total reward: -18.0
Total steps: 326784 	 Episode: 300/1134 	 Total reward: -19.0
Total steps: 352574 	 Episode: 320/1142 	 Total reward: -20.0
Total steps: 378860 	 Episode: 340/1515 	 Total reward: -16.0
Total steps: 405452 	 Episode: 360/1145 	 Total reward: -20.0
Total steps: 431542 	 Episode: 380/1050 	 Total reward: -21.0
Total steps: 458176 	 Episode: 400/1363 	 Total reward: -20.0
Total steps: 487673 	 Episode: 420/1587 	 Total reward: -18.0
Total steps: 518309 	 Episode: 440/1461 	 Total reward: -18.0
Total steps: 548405 	 Episode: 460/1430 	 Total reward: -21.0
Total steps: 580378 	 Episode: 480/2516 	 Total reward: -16.0
Total steps: 614350 	 Episode: 500/1884 	 Total reward: -19.0
Total steps: 648611 	 Episode: 520/2109 	 Total reward: -14.0
Total steps: 684051 	 Episode: 540/2006 	 Total reward: -16.0
Total steps: 724025 	 Episode: 560/1750 	 Total reward: -16.0
Total steps: 764128 	 Episode: 580/1779 	 Total reward: -15.0
Total steps: 805681 	 Episode: 600/3365 	 Total reward: -6.0
Total steps: 848373 	 Episode: 620/2266 	 Total reward: -12.0
Total steps: 889578 	 Episode: 640/2868 	 Total reward: -6.0
Total steps: 931394 	 Episode: 660/2025 	 Total reward: -14.0
Total steps: 978492 	 Episode: 680/2731 	 Total reward: -10.0
Total steps: 1029329 	 Episode: 700/2704 	 Total reward: -9.0
Total steps: 1080528 	 Episode: 720/2336 	 Total reward: -12.0
Total steps: 1133214 	 Episode: 740/2409 	 Total reward: -9.0
